alpha,gamma,graph type,entropy
0.01,0.01,remote,2.050839899913069
0.01,0.01,remote,2.051219077243811
0.01,0.01,remote,2.0038985860372716
0.01,0.01,remote,1.8506075427077515
0.01,0.01,remote,2.0967685699574905
0.01,0.01,remote,2.154205949272762
0.01,0.01,remote,2.160379273238743
0.01,0.01,remote,2.007331804573943
0.01,0.01,remote,2.042353175647849
0.01,0.01,remote,2.103086702325693
0.01,0.01,remote,2.1615807556658315
0.01,0.01,remote,2.005648526594549
0.01,0.01,remote,2.1436530066462156
0.01,0.01,remote,2.235169604003858
0.01,0.01,remote,2.1534649515392696
0.01,0.01,remote,2.254140214116172
0.01,0.01,remote,1.9891413938946847
0.01,0.01,remote,2.0755240966019777
0.01,0.01,remote,2.2121233603340107
0.01,0.01,remote,2.010209608243755
0.01,0.01,remote,2.1203352310804857
0.01,0.01,remote,2.033439498675754
0.01,0.01,remote,2.1043461193334707
0.01,0.01,remote,2.1769195113655813
0.01,0.01,remote,2.028623943956374
0.01,0.01,remote,1.9645990187258653
0.01,0.01,remote,1.9784605104557649
0.01,0.01,remote,2.0787491810403953
0.01,0.01,remote,2.167315087052433
0.01,0.01,remote,2.121511795755692
0.01,0.01,remote,2.133354514221931
0.01,0.01,remote,2.065099592368371
0.01,0.01,remote,2.028704825021178
0.01,0.01,remote,2.172863503110422
0.01,0.01,remote,1.976720638123847
0.01,0.01,remote,1.8996351298052772
0.01,0.01,remote,2.12197477010591
0.01,0.01,remote,2.291709920483684
0.01,0.01,remote,1.8069429535360675
0.01,0.01,remote,1.9771878429638796
0.01,0.01,remote,2.1151597339654957
0.01,0.01,remote,2.1089727594130876
0.01,0.01,remote,2.15542236110156
0.01,0.01,remote,1.985822016668807
0.01,0.01,remote,2.142559443448828
0.01,0.01,remote,2.0831735732784447
0.01,0.01,remote,1.878773690636091
0.01,0.01,remote,2.220802696661344
0.01,0.01,remote,1.9079557739187396
0.01,0.01,remote,2.095171011219857
0.01,0.01,remote,2.185032118932711
0.01,0.01,remote,2.042088721401065
0.01,0.01,remote,2.0342359105448313
0.01,0.01,remote,2.1616837771856527
0.01,0.01,remote,1.9160911369718931
0.01,0.01,remote,1.9742265359183722
0.01,0.01,remote,2.093426897261057
0.01,0.01,remote,1.9201406337458322
0.01,0.01,remote,2.2197538187853514
0.01,0.01,remote,1.956869257230657
0.01,0.01,remote,2.015710770071373
0.01,0.01,remote,2.058121376337485
0.01,0.01,remote,2.078369444070237
0.01,0.01,remote,2.208280686719047
0.01,0.01,remote,2.047992454008849
0.01,0.01,remote,2.0592699613752705
0.01,0.01,remote,2.0645385159172047
0.01,0.01,remote,2.1198766935779667
0.01,0.01,remote,2.1688856776368985
0.01,0.01,remote,2.0111718193011865
0.01,0.01,remote,1.9176074418391043
0.01,0.01,remote,2.0166291909842022
0.01,0.01,remote,2.148156069642745
0.01,0.01,remote,2.0262154953051286
0.01,0.01,remote,1.9441643057065645
0.01,0.01,remote,1.9371092770438116
0.01,0.01,remote,1.865598842801684
0.01,0.01,remote,1.985618424556097
0.01,0.01,remote,2.0184893633400756
0.01,0.01,remote,1.950663827385182
0.01,0.01,remote,1.991871928559049
0.01,0.01,remote,1.9439037937803316
0.01,0.01,remote,2.1119713344713364
0.01,0.01,remote,2.0425579794992563
0.01,0.01,remote,2.1449769974118595
0.01,0.01,remote,1.943600026974309
0.01,0.01,remote,1.9592541507043149
0.01,0.01,remote,1.8426435415551599
0.01,0.01,remote,2.12611452684666
0.01,0.01,remote,2.0749518591885767
0.01,0.01,remote,1.9696514815884043
0.01,0.01,remote,2.012210254736567
0.01,0.01,remote,1.950367410028315
0.01,0.01,remote,2.2416791711102677
0.01,0.01,remote,2.032055994510975
0.01,0.01,remote,1.9602987254920243
0.01,0.01,remote,1.8892959818536157
0.01,0.01,remote,2.036870069693151
0.01,0.01,remote,1.881694152625763
0.01,0.01,remote,2.216261624668435
0.01,0.01,remote,2.027320196953711
0.01,0.01,remote,2.1418576212565137
0.01,0.01,remote,1.983846142188212
0.01,0.01,remote,1.9628844820209768
0.01,0.01,remote,1.9140182243674442
0.01,0.01,remote,2.0760474769210835
0.01,0.01,remote,2.2527742876233745
0.01,0.01,remote,1.9651631268467489
0.01,0.01,remote,2.036751040550332
0.01,0.01,remote,2.1133710396120833
0.01,0.01,remote,2.077188001669937
0.01,0.01,remote,2.065333706108898
0.01,0.01,remote,2.0239623895227483
0.01,0.01,remote,2.063617217533251
0.01,0.01,remote,2.0977620109383768
0.01,0.01,remote,2.0354903104289646
0.01,0.01,remote,2.1059661564848278
0.01,0.01,remote,2.1407384335031074
0.01,0.01,remote,2.2487585188963273
0.01,0.01,remote,1.9472467636774404
0.01,0.01,remote,2.0082698758399533
0.01,0.01,remote,1.8953542106216976
0.01,0.01,remote,2.1775651434369623
0.01,0.01,remote,2.0326114660168875
0.01,0.01,remote,1.904786152384037
0.01,0.01,remote,2.064571722785902
0.01,0.01,remote,2.02626890548097
0.01,0.01,remote,2.051794928704727
0.01,0.01,remote,1.8258881325278824
0.01,0.01,remote,2.0144520018343117
0.01,0.01,remote,2.16757963217783
0.01,0.01,remote,2.063654932943214
0.01,0.01,remote,1.9385613174470961
0.01,0.01,remote,1.9984137840979956
0.01,0.01,remote,2.045858966873105
0.01,0.01,remote,1.9616003534081665
0.01,0.01,remote,2.110379954322289
0.01,0.01,remote,2.1031205487584854
0.01,0.01,remote,1.7821909290762823
0.01,0.01,remote,2.0984189921949907
0.01,0.01,remote,2.1740798237605086
0.01,0.01,remote,1.9759263315481108
0.01,0.01,remote,2.0326971079806873
0.01,0.01,remote,2.093044530075048
0.01,0.01,remote,2.2139906114562704
0.01,0.01,remote,2.033676605414119
0.01,0.01,remote,1.9202533579597967
0.01,0.01,remote,2.0991381555277253
0.01,0.01,remote,2.015920132804442
0.01,0.01,remote,2.178270267830495
0.01,0.01,remote,2.150929693094077
0.01,0.01,remote,2.0785643377749907
0.01,0.01,remote,2.088639710351572
0.01,0.01,remote,2.1131303821577636
0.01,0.01,remote,2.0281471191487563
0.01,0.01,remote,2.1092436903494507
0.01,0.01,remote,2.0906271709570894
0.01,0.01,remote,2.0358231093748307
0.01,0.01,remote,1.8757799069230565
0.01,0.01,remote,2.0204817354118925
0.01,0.01,remote,1.9630867513619448
0.01,0.01,remote,2.124735019143408
0.01,0.01,remote,2.132118782806004
0.01,0.01,remote,2.204178119015724
0.01,0.01,remote,1.981091865179792
0.01,0.01,remote,2.1280253156676956
0.01,0.01,remote,2.170373180093747
0.01,0.01,remote,2.178733201421476
0.01,0.01,remote,2.0014333701740608
0.01,0.01,remote,2.0750607256399056
